               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1001,            0.024858,                   0,             0.14943,             0.16912,            0.096191,             0.02738,            0.067469,            0.012582,                   0,              0.0775,              0.0025,              0.0025
                   1,             0.07322,            0.025313,                   0,             0.33335,             0.43382,             0.31025,             0.10581,            0.054713,           0.0098792,                   0,            0.053999,            0.004999,            0.004999
                   2,            0.064022,            0.022214,                   0,             0.41464,             0.55147,             0.38781,             0.14246,            0.058783,           0.0082671,                   0,            0.030395,           0.0073951,           0.0073951
                   3,            0.063877,            0.019235,                   0,             0.39335,             0.44853,             0.33216,             0.14792,            0.059595,             0.00744,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.056271,            0.019558,                   0,             0.53509,             0.60934,             0.52376,             0.22763,            0.044801,           0.0070305,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.051292,             0.01908,                   0,             0.69239,             0.72823,             0.69894,             0.31883,            0.043069,           0.0065714,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.047833,            0.018533,                   0,             0.80524,             0.69853,             0.78477,             0.33799,             0.04046,           0.0064864,                   0,             0.00901,             0.00901,             0.00901
                   7,             0.04556,            0.018823,                   0,             0.62546,             0.71324,             0.62355,             0.30342,            0.040882,           0.0070763,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.044752,            0.018094,                   0,             0.76056,             0.76471,             0.80757,             0.39861,             0.03562,           0.0061946,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041306,            0.017425,                   0,             0.74322,             0.78676,             0.81571,             0.44666,            0.034843,           0.0064006,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.040043,            0.017172,                   0,             0.72731,             0.84329,             0.85687,              0.4985,            0.030783,            0.006628,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.040877,            0.017029,                   0,             0.90059,             0.79937,             0.87826,             0.49656,            0.034411,           0.0061421,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.041015,            0.015806,                   0,             0.88632,             0.75735,             0.87255,             0.49922,            0.035521,           0.0065348,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03873,            0.016719,                   0,             0.95171,             0.86956,             0.92486,             0.58496,            0.029639,           0.0057541,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.037524,            0.016776,                   0,             0.84412,               0.876,             0.91786,              0.5713,            0.031368,           0.0058361,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.036042,             0.01608,                   0,             0.91787,             0.85294,             0.92493,             0.57975,            0.029462,           0.0061473,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.035322,            0.015726,                   0,             0.91093,             0.82726,              0.9147,             0.54877,            0.027035,           0.0059216,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.03595,            0.014808,                   0,             0.95798,             0.83814,             0.93506,              0.6259,            0.025772,            0.005782,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.03449,            0.015695,                   0,             0.84219,             0.90441,             0.93653,             0.62174,            0.024519,            0.005645,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.033189,            0.014618,                   0,             0.92121,               0.875,             0.93906,             0.62843,            0.025061,           0.0057269,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.032538,            0.015732,                   0,             0.91751,             0.89969,              0.9543,             0.62999,            0.025746,           0.0054704,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032716,            0.014888,                   0,             0.97059,             0.88971,             0.96005,             0.65872,            0.024789,           0.0052788,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.032054,            0.015143,                   0,             0.94458,              0.8773,             0.94468,             0.62372,            0.028037,            0.005585,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.03103,            0.014619,                   0,              0.9567,             0.85294,             0.94837,             0.64867,              0.0248,           0.0055763,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031076,            0.014524,                   0,             0.96541,             0.91176,             0.96477,             0.67319,            0.023428,           0.0051382,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.027921,            0.014318,                   0,             0.93057,             0.88691,             0.94697,             0.64904,            0.024047,           0.0055653,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.028683,             0.01367,                   0,             0.97539,             0.87411,             0.97144,             0.69172,            0.022431,           0.0051415,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.028473,            0.014105,                   0,             0.98329,             0.86544,             0.97297,             0.69204,            0.022065,           0.0051048,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.027969,            0.013941,                   0,              0.9522,             0.90441,             0.96951,             0.66521,            0.024014,            0.005164,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.029758,            0.014365,                   0,             0.94586,             0.89918,             0.95224,             0.68013,            0.022622,            0.005272,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.028293,            0.013367,                   0,             0.96762,             0.87885,             0.94752,              0.6834,            0.022136,           0.0053861,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.026993,            0.013234,                   0,             0.94607,               0.875,             0.94774,             0.66809,            0.022039,           0.0053205,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.026741,            0.013632,                   0,             0.93457,             0.84019,             0.94661,             0.67706,            0.023175,             0.00514,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.027618,            0.013335,                   0,             0.93823,             0.89355,             0.94868,             0.67204,            0.023987,           0.0051911,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.027802,            0.013171,                   0,             0.93896,             0.91176,             0.96357,             0.69617,            0.020852,           0.0050289,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.024933,            0.012958,                   0,             0.94515,             0.88697,             0.95737,              0.6758,            0.023424,           0.0050959,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.02636,            0.013767,                   0,              0.9392,             0.88971,             0.96102,             0.68429,             0.02214,            0.005128,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.024972,            0.012828,                   0,             0.93903,             0.90603,             0.95191,             0.69396,            0.020687,           0.0053041,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.023086,            0.012854,                   0,             0.96705,             0.89706,             0.95386,             0.69177,             0.02028,           0.0052859,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.023675,            0.012336,                   0,             0.95861,             0.89706,             0.95956,             0.70775,            0.019765,           0.0050722,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025162,            0.012515,                   0,             0.94393,             0.91176,             0.97023,             0.72412,            0.019513,           0.0048386,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024222,            0.012532,                   0,             0.94698,             0.91924,             0.96798,             0.72718,            0.018948,           0.0049112,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.023233,             0.01239,                   0,             0.96191,             0.91176,              0.9721,              0.7331,            0.019753,           0.0048035,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.023752,            0.012389,                   0,             0.92784,             0.94545,              0.9716,             0.73835,            0.019414,           0.0047763,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.02242,            0.013029,                   0,             0.97857,             0.89706,             0.97227,             0.74246,            0.018971,           0.0048048,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.021232,            0.011635,                   0,             0.96711,             0.90441,             0.97323,             0.75123,            0.018265,           0.0048829,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.024387,            0.012341,                   0,             0.98153,             0.91176,             0.97139,             0.74175,            0.018425,           0.0049395,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.022734,            0.011644,                   0,             0.98057,             0.90441,             0.97277,             0.74344,            0.018371,            0.005009,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.023544,            0.012211,                   0,             0.98148,             0.89706,             0.97063,             0.75191,            0.018339,           0.0048494,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.022411,            0.012404,                   0,              0.9346,             0.94577,             0.97248,             0.75848,            0.017918,           0.0047847,                   0,            0.000496,            0.000496,            0.000496
