               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11129,            0.024388,                   0,            0.086178,             0.14966,            0.060647,             0.01485,            0.077633,            0.014044,                   0,              0.0811,              0.0021,              0.0021
                   1,             0.07799,             0.02996,                   0,              0.4428,             0.58386,             0.52437,             0.21564,            0.053395,            0.013775,                   0,            0.061215,           0.0042149,           0.0042149
                   2,            0.063198,            0.024753,                   0,              0.2691,              0.5102,             0.26567,             0.11684,            0.068272,            0.012321,                   0,            0.041243,           0.0062426,           0.0062426
                   3,            0.060345,            0.023776,                   0,             0.57228,             0.62585,             0.58905,             0.27211,            0.049521,           0.0090877,                   0,            0.021183,           0.0081832,           0.0081832
                   4,            0.056911,             0.02112,                   0,              0.5138,             0.64626,             0.57099,             0.24921,            0.053308,           0.0082268,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.052012,            0.021411,                   0,             0.43083,             0.73121,             0.47089,             0.21378,            0.056876,            0.007782,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.048372,            0.021127,                   0,             0.81787,             0.82313,             0.84609,             0.41878,            0.039814,           0.0074676,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.045312,            0.020708,                   0,              0.7693,             0.79395,             0.81081,              0.3956,            0.037636,           0.0082169,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.042067,            0.019412,                   0,              0.6955,              0.7415,             0.72535,             0.39134,            0.035408,           0.0084062,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041932,            0.020132,                   0,              0.7984,             0.80272,             0.84973,             0.36231,            0.036565,           0.0079841,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.040312,            0.019047,                   0,             0.77325,             0.84354,             0.85598,             0.49851,             0.03195,           0.0075683,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.038251,            0.017586,                   0,             0.69059,              0.7619,              0.7274,             0.37662,            0.034887,           0.0073579,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037776,            0.018433,                   0,             0.87199,             0.85714,             0.91198,             0.58059,            0.030615,           0.0073737,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.036493,            0.018342,                   0,             0.84223,             0.87156,              0.9034,             0.60301,            0.031299,           0.0073866,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.035967,            0.017399,                   0,             0.85151,             0.86395,             0.91457,              0.6063,            0.031509,           0.0072253,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.034238,            0.017091,                   0,             0.84025,             0.85874,             0.87629,             0.51569,            0.032296,           0.0070961,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.034137,            0.016787,                   0,             0.90506,             0.83673,             0.93519,             0.60407,            0.028268,           0.0068621,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.033202,            0.017205,                   0,             0.89124,             0.83618,             0.93249,             0.62064,            0.027953,            0.006751,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.031902,            0.016903,                   0,             0.86562,             0.85714,             0.90184,             0.56494,            0.032533,           0.0070731,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.031353,            0.016408,                   0,             0.91625,             0.85034,              0.9242,             0.57204,            0.035473,           0.0069884,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.031846,            0.016986,                   0,              0.8724,             0.85714,             0.90554,             0.58572,            0.030082,           0.0072381,                   0,            0.006238,            0.006238,            0.006238
