               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094964,            0.025702,                   0,             0.23484,              0.2924,             0.18047,            0.065558,            0.056034,            0.012141,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.071928,            0.026953,                   0,             0.52972,             0.64327,             0.57707,             0.23761,            0.044427,            0.010875,                   0,            0.048587,           0.0055871,           0.0055871
                   2,            0.062169,             0.02418,                   0,             0.34599,             0.50877,             0.32197,             0.13955,            0.050514,           0.0095088,                   0,            0.022259,           0.0082594,           0.0082594
                   3,            0.059243,            0.022392,                   0,             0.54925,              0.4386,             0.44126,             0.16047,            0.050341,           0.0082582,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.054087,            0.021889,                   0,             0.57246,             0.54029,             0.49384,             0.14922,            0.048664,           0.0082046,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.04805,            0.020725,                   0,             0.57188,             0.72515,             0.58753,             0.19887,            0.042449,           0.0085608,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.048595,             0.02191,                   0,             0.67288,             0.68421,             0.67878,               0.276,            0.036507,           0.0086559,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.045978,            0.022545,                   0,             0.72831,             0.76608,             0.81154,             0.37675,             0.03287,           0.0083982,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.038865,            0.019968,                   0,             0.80179,             0.66082,             0.76688,             0.38791,            0.031736,           0.0078782,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041743,             0.02079,                   0,             0.88302,             0.79457,             0.87015,               0.452,            0.036124,           0.0073497,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.040427,             0.01914,                   0,             0.86156,             0.85965,              0.9084,             0.48917,            0.026476,           0.0070869,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.040526,            0.019777,                   0,             0.87402,             0.84211,             0.90042,             0.51097,            0.028675,           0.0069946,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.03783,            0.019128,                   0,             0.88915,             0.87719,             0.93486,             0.50852,            0.029562,           0.0064544,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.036614,            0.019251,                   0,             0.88152,             0.84795,             0.90046,             0.49822,            0.028393,           0.0067149,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.036949,            0.018744,                   0,             0.87374,              0.8538,             0.89869,              0.4742,            0.030174,           0.0067095,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.035768,            0.018879,                   0,             0.86626,             0.90058,             0.92927,             0.54976,            0.024401,           0.0067565,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.034787,            0.018129,                   0,             0.91085,             0.87719,             0.91475,             0.54445,            0.024688,           0.0068338,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.033914,            0.018625,                   0,             0.89721,             0.90643,             0.92455,             0.57691,            0.025272,           0.0061906,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.034281,            0.017859,                   0,             0.89897,             0.90058,              0.9472,             0.55547,            0.024341,           0.0063153,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.035081,            0.019175,                   0,             0.88095,             0.86549,             0.92499,             0.57877,            0.022762,           0.0062678,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.032685,            0.017295,                   0,             0.92531,             0.89474,             0.94672,             0.57979,            0.025633,             0.00633,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.030543,            0.017427,                   0,             0.85957,             0.89485,              0.9346,             0.58873,            0.025839,           0.0061174,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.032547,            0.018342,                   0,             0.88767,             0.87802,             0.94355,             0.59125,            0.023115,           0.0063807,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.030989,            0.018193,                   0,             0.91561,             0.88829,              0.9433,              0.5933,            0.022979,           0.0063748,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.03007,            0.017791,                   0,             0.91093,             0.90058,             0.94549,             0.59188,            0.022513,           0.0060891,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.028857,            0.016776,                   0,             0.91377,             0.88889,             0.94731,             0.62982,            0.021724,           0.0061649,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.030155,            0.018878,                   0,             0.91083,             0.89605,             0.94975,             0.63334,            0.022903,           0.0060965,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.029337,            0.016766,                   0,             0.94353,             0.87933,             0.95928,             0.66147,            0.021352,            0.005768,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.028694,            0.015984,                   0,             0.93162,             0.88304,             0.95808,              0.6493,             0.02195,           0.0058634,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.02598,             0.01625,                   0,              0.9466,             0.89474,             0.96561,             0.63909,            0.020449,           0.0062192,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.029191,            0.016643,                   0,             0.94076,             0.92872,             0.96284,             0.65061,            0.020499,           0.0059351,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.027976,            0.016579,                   0,             0.91741,             0.90943,             0.95144,             0.60995,            0.020292,           0.0059507,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.029157,            0.016136,                   0,             0.95019,             0.88304,             0.95484,             0.66387,            0.022346,           0.0058066,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.027235,            0.016162,                   0,             0.90443,             0.89474,             0.94912,             0.64463,            0.022909,           0.0058549,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.028042,            0.016956,                   0,             0.90224,             0.90643,               0.954,             0.65328,            0.022768,           0.0058576,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.027532,            0.015359,                   0,              0.9122,             0.92398,             0.95591,             0.66486,            0.021145,           0.0059212,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.028778,            0.015464,                   0,             0.94216,             0.87719,             0.95423,             0.66858,            0.021684,           0.0060437,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.026236,            0.015541,                   0,             0.89335,             0.93067,             0.94871,             0.65137,            0.021984,           0.0059647,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.025861,            0.015296,                   0,             0.92477,             0.93447,              0.9597,             0.66692,             0.02195,           0.0058846,                   0,            0.002674,            0.002674,            0.002674
                  39,              0.0276,            0.015273,                   0,             0.89865,             0.93331,             0.96002,             0.68053,            0.022102,           0.0057513,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025829,            0.017321,                   0,             0.91393,             0.92398,              0.9572,             0.68096,             0.02204,            0.005594,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025341,            0.015565,                   0,             0.90612,             0.91228,             0.96017,             0.67621,            0.021173,           0.0056331,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.026278,            0.015262,                   0,             0.92223,             0.90156,             0.96615,             0.69487,            0.020919,           0.0055855,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.025472,            0.015219,                   0,             0.92177,             0.90058,              0.9684,             0.69411,            0.021152,           0.0054963,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.023802,            0.014794,                   0,             0.91675,             0.92398,             0.96667,             0.69799,            0.020952,           0.0054454,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.025316,            0.015831,                   0,             0.91115,             0.93567,             0.96285,             0.68469,            0.020947,           0.0054867,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02487,            0.015982,                   0,             0.90262,             0.92982,             0.96177,             0.69202,            0.021047,           0.0055095,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023872,            0.014388,                   0,             0.90918,             0.93674,             0.97047,             0.68923,            0.020528,           0.0055718,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.024631,            0.015219,                   0,             0.91056,             0.91813,             0.96816,             0.68938,            0.021087,           0.0055637,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.026394,            0.016546,                   0,             0.91252,             0.92982,             0.96748,             0.68999,            0.020682,           0.0054881,                   0,            0.000496,            0.000496,            0.000496
