               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097246,            0.024442,                   0,             0.13464,             0.27103,            0.089842,            0.033303,            0.047401,            0.010788,                   0,              0.0811,              0.0021,              0.0021
                   1,            0.074328,             0.02598,                   0,             0.51671,              0.5514,             0.49132,             0.25477,            0.034679,           0.0088528,                   0,            0.061215,           0.0042149,           0.0042149
                   2,            0.057586,             0.02415,                   0,             0.41258,             0.49533,             0.41846,              0.1581,            0.036168,           0.0068592,                   0,            0.041243,           0.0062426,           0.0062426
                   3,            0.056868,            0.021005,                   0,             0.47496,             0.79439,             0.58158,             0.36986,            0.032275,           0.0054018,                   0,            0.021183,           0.0081832,           0.0081832
                   4,            0.053471,            0.019376,                   0,             0.32443,             0.62617,             0.34322,             0.22005,            0.043236,           0.0050935,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.049778,            0.018732,                   0,             0.82439,             0.82243,             0.88185,             0.54539,            0.020842,           0.0063935,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.049044,            0.018579,                   0,              0.6644,             0.80374,             0.78405,             0.48548,            0.024812,           0.0061801,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.044766,              0.0188,                   0,             0.58004,             0.79439,             0.68319,             0.34619,            0.030399,           0.0063929,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.047291,            0.018397,                   0,             0.81037,             0.85981,             0.87924,             0.46515,            0.023581,            0.006281,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.041177,            0.018481,                   0,              0.8036,             0.84112,             0.87294,             0.53994,            0.019116,           0.0058382,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.041385,            0.017566,                   0,             0.87457,             0.84714,             0.88052,             0.41736,            0.027187,           0.0051926,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.038111,            0.018104,                   0,             0.82453,             0.88785,             0.89229,             0.54058,            0.017002,           0.0047964,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.03485,            0.017112,                   0,             0.68728,             0.84112,             0.77359,             0.51559,            0.020407,           0.0044277,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.036016,            0.016908,                   0,             0.88442,             0.85047,              0.9089,             0.61802,            0.018221,            0.004835,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.037369,            0.016139,                   0,             0.93363,             0.92523,             0.93629,             0.61041,            0.022163,           0.0043776,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.03245,            0.016453,                   0,             0.96964,             0.88785,             0.95212,             0.53631,             0.01779,           0.0039714,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.031295,            0.016162,                   0,             0.94347,             0.91589,             0.95291,             0.70631,             0.01629,           0.0036858,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.031961,            0.015849,                   0,             0.94132,             0.89956,             0.94678,             0.63764,             0.01596,           0.0041894,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.035519,            0.016673,                   0,             0.97059,             0.92523,             0.96552,             0.66969,             0.01598,           0.0043482,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.030745,            0.015628,                   0,             0.92393,             0.90817,             0.96158,             0.70196,            0.016201,           0.0043806,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.031364,            0.015436,                   0,             0.95678,             0.94393,             0.96993,             0.71507,            0.014713,           0.0037931,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.027744,             0.01486,                   0,                   1,             0.94194,             0.97928,             0.68493,            0.015728,           0.0036571,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.032611,            0.015817,                   0,             0.95084,             0.92523,             0.97411,             0.69689,            0.013681,           0.0037215,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.025672,            0.014689,                   0,             0.95688,             0.92523,             0.97326,             0.69456,             0.01373,           0.0036789,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.027028,            0.015126,                   0,             0.95114,             0.90654,             0.94301,             0.70812,            0.014981,           0.0033927,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.030801,            0.014524,                   0,              0.9809,             0.95979,             0.97518,              0.7491,            0.013813,           0.0032912,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.028179,             0.01483,                   0,             0.96025,             0.95327,             0.95999,             0.75101,            0.013895,           0.0031839,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.028763,            0.015499,                   0,             0.98606,             0.95327,             0.97544,             0.72845,            0.012978,           0.0032778,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.02737,             0.01518,                   0,             0.97359,             0.94393,             0.96373,             0.73011,            0.013177,           0.0033688,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.028614,            0.014199,                   0,             0.97787,             0.95327,             0.97482,             0.76174,            0.011701,            0.003333,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.025116,            0.014006,                   0,             0.97903,             0.95327,             0.97421,             0.75183,            0.012602,           0.0034318,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.021981,            0.014003,                   0,             0.97892,             0.96262,             0.98216,             0.70342,            0.012672,           0.0032723,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.024778,            0.014517,                   0,             0.98977,             0.96262,             0.98919,             0.75303,             0.01244,           0.0031353,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.023306,            0.013639,                   0,              0.9807,             0.94996,             0.98829,             0.75761,            0.012015,            0.003073,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.024017,            0.014341,                   0,             0.99029,             0.95318,             0.98861,             0.76219,            0.012883,           0.0032263,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.024033,            0.014134,                   0,                   1,             0.96119,             0.99301,             0.77996,            0.012438,           0.0030931,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.022938,            0.013475,                   0,             0.99496,             0.96262,             0.98741,              0.7831,            0.012221,           0.0031557,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.022036,            0.014238,                   0,              0.9811,             0.97042,             0.98659,               0.754,            0.012326,           0.0030721,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.022894,            0.013146,                   0,             0.98888,             0.97196,               0.988,             0.75454,            0.012525,           0.0031148,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.022184,            0.012825,                   0,             0.98934,             0.97196,             0.98601,             0.74912,            0.012353,           0.0031189,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.023183,            0.013548,                   0,             0.99022,             0.97196,             0.98588,             0.76991,            0.012278,           0.0030721,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.02084,            0.013222,                   0,             0.99719,             0.96262,             0.98724,             0.77578,            0.012008,           0.0030025,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.021962,            0.013604,                   0,             0.99811,             0.96262,             0.98531,             0.76933,            0.012172,           0.0029485,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.020379,            0.013304,                   0,             0.99794,             0.96262,             0.98569,             0.77547,            0.011707,           0.0030096,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.020003,            0.013205,                   0,                   1,             0.97025,             0.98662,             0.77909,            0.011373,           0.0029224,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.022381,            0.013462,                   0,             0.99627,             0.97196,             0.98708,              0.7906,            0.011185,           0.0028697,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.02212,            0.013851,                   0,             0.99846,             0.97196,             0.98731,             0.78574,            0.011297,            0.002864,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.021109,            0.013183,                   0,             0.99833,             0.97196,             0.98749,             0.78445,            0.011301,           0.0028815,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.020609,            0.013585,                   0,             0.99919,             0.97196,             0.98769,             0.79202,            0.011392,           0.0028765,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.018954,            0.012546,                   0,             0.99831,             0.97196,             0.98714,             0.80168,             0.01104,             0.00285,                   0,            0.000496,            0.000496,            0.000496
