epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8117,0.85602,1.74537,1.2699,0.98264,0.52915,0.83612,0.51578,0.9725,2.33019,1.24846,0.00042,0.00042,0.00042
2,11.5776,0.82831,1.09169,1.25726,0.60276,0.56726,0.57766,0.25089,1.37654,2.98479,1.78688,0.000842972,0.000842972,0.000842972
3,15.292,0.90142,1.08233,1.30048,0.58909,0.64314,0.58026,0.33666,1.23597,1.56217,1.67017,0.00124852,0.00124852,0.00124852
4,18.9359,0.92752,1.0111,1.31965,0.51612,0.68224,0.49628,0.22487,1.53457,2.57466,2.09877,0.00163664,0.00163664,0.00163664
5,23.237,0.9128,0.95254,1.27788,0.49532,0.66355,0.53867,0.22588,1.37579,1.68352,1.99664,0.0018416,0.0018416,0.0018416
6,28.1186,0.96551,0.9672,1.29199,0.56199,0.61682,0.60102,0.26986,1.30729,1.9359,2.09951,0.001802,0.001802,0.001802
7,31.6921,0.9871,0.96431,1.32383,0.52395,0.39252,0.4509,0.12147,2.38878,2.3814,3.36109,0.0017624,0.0017624,0.0017624
8,36.2481,0.96555,0.94134,1.29597,0.79571,0.76447,0.84139,0.39546,1.36282,1.38869,1.84743,0.0017228,0.0017228,0.0017228
9,40.0456,0.90065,0.85715,1.27871,0.86952,0.79439,0.84472,0.46823,1.33261,1.08279,1.6721,0.0016832,0.0016832,0.0016832
10,43.7523,0.90571,0.84669,1.27448,0.84245,0.82243,0.89999,0.59455,1.13047,1.02798,1.43064,0.0016436,0.0016436,0.0016436
11,47.7206,0.92417,0.85512,1.28213,0.58191,0.74147,0.67906,0.40919,1.07179,1.32685,1.2882,0.001604,0.001604,0.001604
12,52.0204,0.85789,0.80475,1.24674,0.86721,0.8545,0.91501,0.54706,1.15341,0.92562,1.38864,0.0015644,0.0015644,0.0015644
13,55.5642,0.88736,0.7923,1.25438,0.95676,0.91589,0.92872,0.66065,1.00074,0.73669,1.26293,0.0015248,0.0015248,0.0015248
14,59.1801,0.84169,0.75697,1.22874,0.85507,0.88227,0.89875,0.60868,0.97913,0.94726,1.24306,0.0014852,0.0014852,0.0014852
15,63.9265,0.84362,0.76445,1.24262,0.9056,0.8972,0.93556,0.68711,0.98896,0.85034,1.22136,0.0014456,0.0014456,0.0014456
16,67.5446,0.85996,0.74829,1.23929,0.98418,0.91589,0.95677,0.67282,1.00155,0.72228,1.30146,0.001406,0.001406,0.001406
17,71.1747,0.81469,0.71179,1.21251,0.96865,0.93458,0.95232,0.70918,0.82801,0.58815,1.13377,0.0013664,0.0013664,0.0013664
18,75.9448,0.78605,0.70128,1.20635,0.97257,0.91589,0.94661,0.64096,1.00111,0.6741,1.27849,0.0013268,0.0013268,0.0013268
19,79.531,0.79339,0.68037,1.19399,0.98588,0.93458,0.96445,0.6833,1.00464,0.68186,1.28485,0.0012872,0.0012872,0.0012872
20,83.1853,0.78936,0.65823,1.18018,0.96944,0.93458,0.95314,0.69251,0.9827,0.60588,1.24501,0.0012476,0.0012476,0.0012476
21,87.808,0.77495,0.65218,1.19162,0.95202,0.92726,0.9669,0.70372,0.86387,0.79828,1.09478,0.001208,0.001208,0.001208
22,91.4267,0.75181,0.64521,1.17403,0.71144,0.82243,0.83892,0.52451,1.25188,1.27114,1.38937,0.0011684,0.0011684,0.0011684
23,95.1516,0.7643,0.68268,1.19674,0.97977,0.90532,0.96532,0.72067,0.91166,0.69633,1.1356,0.0011288,0.0011288,0.0011288
24,99.3671,0.77199,0.6389,1.2012,0.9524,0.93503,0.96064,0.72605,0.89164,0.59267,1.14736,0.0010892,0.0010892,0.0010892
25,103.447,0.77273,0.67292,1.19071,0.97035,0.94393,0.9764,0.75708,0.81075,0.59313,1.10891,0.0010496,0.0010496,0.0010496
26,107.127,0.74046,0.62844,1.17676,0.92228,0.85981,0.95051,0.69125,0.94007,0.79009,1.19126,0.00101,0.00101,0.00101
27,110.826,0.72106,0.6061,1.15727,0.96311,0.91589,0.96582,0.72703,0.83742,0.61779,1.05574,0.0009704,0.0009704,0.0009704
28,115.372,0.74143,0.60463,1.1807,0.87203,0.8972,0.94043,0.68512,0.88204,0.7397,1.14058,0.0009308,0.0009308,0.0009308
29,118.971,0.68816,0.59663,1.16716,0.93752,0.88785,0.96285,0.75074,0.7585,0.62072,1.0274,0.0008912,0.0008912,0.0008912
30,122.587,0.6965,0.58656,1.15191,0.98058,0.9436,0.95576,0.72064,0.80336,0.56532,1.05489,0.0008516,0.0008516,0.0008516
31,127.395,0.70036,0.5812,1.14512,0.98916,0.94393,0.9639,0.75217,0.76784,0.52328,1.02603,0.000812,0.000812,0.000812
32,131.003,0.69608,0.56864,1.13405,0.9888,0.95327,0.97143,0.74691,0.77353,0.48036,1.03969,0.0007724,0.0007724,0.0007724
33,134.667,0.68294,0.56299,1.14599,0.9969,0.96262,0.98497,0.77406,0.73416,0.52044,0.99074,0.0007328,0.0007328,0.0007328
34,139.45,0.68193,0.54554,1.13679,0.99791,0.96262,0.98111,0.7787,0.70484,0.47352,0.95688,0.0006932,0.0006932,0.0006932
35,143.041,0.66913,0.54206,1.12849,0.98684,0.95327,0.96854,0.78629,0.70285,0.48232,0.94133,0.0006536,0.0006536,0.0006536
36,146.707,0.64367,0.52396,1.11237,0.98911,0.94393,0.9669,0.78562,0.67196,0.47371,0.92402,0.000614,0.000614,0.000614
37,151.052,0.66152,0.53814,1.14164,0.98073,0.95148,0.98599,0.79229,0.75092,0.51795,0.99876,0.0005744,0.0005744,0.0005744
38,155.207,0.64634,0.51622,1.10928,1,0.96071,0.98672,0.80815,0.72077,0.50081,0.96521,0.0005348,0.0005348,0.0005348
39,158.832,0.67164,0.53043,1.1297,1,0.96214,0.98393,0.80901,0.69325,0.44645,0.94323,0.0004952,0.0004952,0.0004952
40,162.699,0.68293,0.53644,1.1383,1,0.96242,0.98381,0.79127,0.7683,0.48678,0.99862,0.0004556,0.0004556,0.0004556
41,168.405,0.5146,0.61107,1.11519,0.98076,0.95265,0.97047,0.78191,0.68288,0.48865,0.92669,0.000416,0.000416,0.000416
42,171.936,0.46481,0.42402,1.08315,0.98937,0.97196,0.99049,0.82404,0.63317,0.50042,0.88027,0.0003764,0.0003764,0.0003764
43,175.912,0.45654,0.37181,1.07365,0.97193,0.97078,0.98988,0.83812,0.61991,0.5119,0.88785,0.0003368,0.0003368,0.0003368
44,180.051,0.44117,0.36445,1.06908,0.98976,0.95327,0.98654,0.84168,0.59249,0.48093,0.85095,0.0002972,0.0002972,0.0002972
45,183.533,0.40373,0.33689,1.03853,0.98878,0.96262,0.98984,0.83548,0.59542,0.46387,0.85677,0.0002576,0.0002576,0.0002576
46,187.129,0.43191,0.34352,1.02695,0.98329,0.94393,0.9897,0.82681,0.58717,0.46571,0.8466,0.000218,0.000218,0.000218
47,191.638,0.40354,0.31859,1.01592,0.99046,0.97009,0.99282,0.83797,0.57654,0.45853,0.83699,0.0001784,0.0001784,0.0001784
48,195.155,0.40463,0.32414,1.04028,0.99038,0.96194,0.99173,0.83898,0.56035,0.43516,0.83018,0.0001388,0.0001388,0.0001388
49,198.605,0.38369,0.30333,1.03585,0.98092,0.9612,0.98639,0.84022,0.54819,0.43624,0.81319,9.92e-05,9.92e-05,9.92e-05
50,203.209,0.37178,0.28938,1.00395,0.99045,0.96976,0.98656,0.84068,0.55222,0.42679,0.81052,5.96e-05,5.96e-05,5.96e-05
