epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05051,1.14288,1.95027,1.32317,1,0.12783,0.68093,0.38163,1.26715,2.38073,1.50708,0.00042,0.00042,0.00042
2,12.0289,1.14478,1.33396,1.38096,0.754,0.61905,0.70678,0.43506,1.11422,1.56162,1.46147,0.000842972,0.000842972,0.000842972
3,16.0358,1.19658,1.28917,1.4039,0.69919,0.60544,0.67708,0.37037,1.35173,1.46061,1.59616,0.00124852,0.00124852,0.00124852
4,21.4045,1.25244,1.2466,1.41756,0.42099,0.48967,0.41308,0.18253,1.8349,3.1938,2.18258,0.00163664,0.00163664,0.00163664
5,25.474,1.25388,1.2759,1.42742,0.45235,0.42857,0.35567,0.16593,1.63789,2.08784,1.87878,0.0018416,0.0018416,0.0018416
6,29.4222,1.24868,1.24617,1.39626,0.52756,0.42857,0.44128,0.19542,1.81034,1.87608,2.07485,0.001802,0.001802,0.001802
7,34.3476,1.21546,1.18156,1.40122,0.65939,0.58503,0.60632,0.29511,1.78376,1.69902,2.11951,0.0017624,0.0017624,0.0017624
8,38.2306,1.23181,1.15627,1.37966,0.86667,0.66328,0.78486,0.45395,1.58349,1.24462,1.69759,0.0017228,0.0017228,0.0017228
9,42.1029,1.16856,1.09045,1.36283,0.73076,0.62778,0.693,0.39418,1.57768,1.45545,1.91451,0.0016832,0.0016832,0.0016832
10,47.1436,1.25327,1.15212,1.41329,0.37213,0.57252,0.40443,0.21208,1.59437,2.62654,1.77442,0.0016436,0.0016436,0.0016436
11,51.8537,1.22177,1.12158,1.38288,0.72889,0.71429,0.75309,0.44532,1.349,1.50449,1.53668,0.001604,0.001604,0.001604
12,56.1832,1.21508,1.10604,1.3757,0.77407,0.72789,0.76245,0.44674,1.33086,1.25171,1.54815,0.0015644,0.0015644,0.0015644
13,61.1455,1.13577,1.04757,1.33197,0.82553,0.7619,0.86993,0.52284,1.2456,1.15816,1.40125,0.0015248,0.0015248,0.0015248
14,65.0416,1.11164,1.00928,1.30851,0.82951,0.79438,0.87096,0.58407,1.12565,1.01707,1.31697,0.0014852,0.0014852,0.0014852
15,68.8593,1.1657,1.06376,1.36045,0.83684,0.76871,0.85023,0.52026,1.23549,0.99626,1.38893,0.0014456,0.0014456,0.0014456
16,73.9941,1.14297,1.00453,1.331,0.8906,0.78912,0.9082,0.61042,1.1523,0.87891,1.30052,0.001406,0.001406,0.001406
17,77.8679,1.10577,0.95233,1.30406,0.92979,0.79592,0.92248,0.62308,1.06786,0.81796,1.24923,0.0013664,0.0013664,0.0013664
18,81.8029,1.10395,0.95269,1.3115,0.89332,0.85451,0.91562,0.62642,1.01015,0.77187,1.22643,0.0013268,0.0013268,0.0013268
19,86.7874,1.06071,0.90294,1.27348,0.89974,0.80272,0.88384,0.63253,1.09011,0.84499,1.33654,0.0012872,0.0012872,0.0012872
20,90.6913,1.04885,0.87893,1.26643,0.81818,0.76529,0.83794,0.55556,1.07812,0.89047,1.27254,0.0012476,0.0012476,0.0012476
21,94.5526,1.04146,0.8559,1.27503,0.83636,0.76491,0.86747,0.57262,1.13511,0.84292,1.30839,0.001208,0.001208,0.001208
22,99.459,1.0411,0.87755,1.2715,0.8534,0.7128,0.79023,0.51212,1.22307,0.98432,1.49806,0.0011684,0.0011684,0.0011684
23,103.332,1.03069,0.85712,1.26503,0.90761,0.79592,0.89926,0.59901,1.05336,0.82352,1.2954,0.0011288,0.0011288,0.0011288
24,107.158,1.02528,0.85251,1.26134,0.89454,0.80784,0.88309,0.58304,1.17505,0.82432,1.47419,0.0010892,0.0010892,0.0010892
25,112.156,1.0206,0.82627,1.25445,0.87832,0.87755,0.91285,0.63864,1.06855,0.69782,1.27393,0.0010496,0.0010496,0.0010496
26,116.073,1.00342,0.81034,1.24886,0.87295,0.83673,0.87394,0.58787,1.13903,0.7156,1.38018,0.00101,0.00101,0.00101
27,119.977,0.98434,0.8049,1.23064,0.91186,0.83673,0.92774,0.65298,0.99426,0.6564,1.19314,0.0009704,0.0009704,0.0009704
28,125.198,0.96986,0.76287,1.23063,0.93976,0.84901,0.93482,0.63858,1.06996,0.65245,1.28596,0.0009308,0.0009308,0.0009308
29,129.123,0.9622,0.78823,1.23898,0.9024,0.87075,0.94568,0.65859,1.06451,0.66392,1.224,0.0008912,0.0008912,0.0008912
30,132.994,0.93262,0.73876,1.19301,0.87383,0.8952,0.92646,0.66931,0.98474,0.6755,1.17003,0.0008516,0.0008516,0.0008516
31,138.235,0.9177,0.74653,1.19794,0.94389,0.86395,0.93531,0.67371,0.9776,0.61694,1.17456,0.000812,0.000812,0.000812
