epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.86061,1.19212,1.82305,1.42069,0.7496,0.65497,0.74758,0.41037,1.3795,1.56797,1.94156,0.00056,0.00056,0.00056
2,13.9023,1.0958,1.31685,1.37599,0.57488,0.5614,0.61845,0.30518,1.468,2.07687,1.8958,0.00111743,0.00111743,0.00111743
3,20.1014,1.07292,1.22761,1.38105,0.69665,0.52379,0.63001,0.29578,1.57814,2.37222,2.42518,0.00165189,0.00165189,0.00165189
4,24.9035,1.13401,1.29341,1.4028,0.30095,0.22222,0.17213,0.05756,2.40085,2.39275,2.42402,0.0018812,0.0018812,0.0018812
5,30.7563,1.09383,1.15139,1.35396,0.61157,0.60768,0.6268,0.34914,1.43769,1.52266,1.81989,0.0018416,0.0018416,0.0018416
6,35.8799,1.07162,1.08983,1.34319,0.60996,0.63743,0.63104,0.35187,1.46624,1.72418,1.90577,0.001802,0.001802,0.001802
7,40.7435,1.07127,1.1138,1.34223,0.58222,0.61404,0.56691,0.26437,1.63707,1.70412,2.01438,0.0017624,0.0017624,0.0017624
8,46.7199,1.07459,1.09718,1.33398,0.8124,0.73099,0.84229,0.54454,1.18861,1.08283,1.58492,0.0017228,0.0017228,0.0017228
9,51.5195,0.94771,0.94629,1.26558,0.76292,0.73099,0.78332,0.45337,1.46092,1.20502,1.69607,0.0016832,0.0016832,0.0016832
10,57.3141,1.03014,0.96795,1.30241,0.76425,0.75833,0.80858,0.54184,1.16169,1.08989,1.51337,0.0016436,0.0016436,0.0016436
11,61.9503,1.00535,0.94842,1.2825,0.77436,0.78363,0.84361,0.56781,1.10558,1.05734,1.46708,0.001604,0.001604,0.001604
12,66.6276,0.92845,0.91993,1.26357,0.84311,0.71345,0.82714,0.54953,1.14274,1.01787,1.42888,0.0015644,0.0015644,0.0015644
13,72.7336,0.94028,0.95566,1.24677,0.80494,0.77193,0.84295,0.5108,1.23179,1.04282,1.63141,0.0015248,0.0015248,0.0015248
14,77.5044,0.95567,0.86744,1.26758,0.88203,0.78707,0.8759,0.59525,1.11879,0.83193,1.43289,0.0014852,0.0014852,0.0014852
15,83.3599,0.92652,0.84138,1.24828,0.72811,0.70475,0.785,0.46662,1.37379,1.08428,1.58916,0.0014456,0.0014456,0.0014456
16,88.0755,0.91651,0.83138,1.25073,0.86578,0.8299,0.88652,0.60138,1.10599,0.84467,1.40806,0.001406,0.001406,0.001406
17,92.9075,0.90981,0.83833,1.23414,0.90743,0.84795,0.93137,0.64117,1.02347,0.7021,1.34445,0.0013664,0.0013664,0.0013664
18,98.5129,0.88466,0.84939,1.23561,0.87392,0.83041,0.8978,0.63983,0.97689,0.74823,1.32982,0.0013268,0.0013268,0.0013268
19,103.199,0.92873,0.84742,1.26045,0.84709,0.80995,0.90715,0.58322,1.11852,0.82755,1.39712,0.0012872,0.0012872,0.0012872
20,109.062,0.87945,0.76524,1.21901,0.8979,0.82291,0.89263,0.61184,1.07525,0.79157,1.38253,0.0012476,0.0012476,0.0012476
21,113.721,0.87768,0.78901,1.2272,0.85791,0.88889,0.94184,0.67436,0.99412,0.69309,1.29015,0.001208,0.001208,0.001208
22,118.618,0.82284,0.73649,1.18418,0.89826,0.8538,0.93963,0.66657,0.97653,0.71151,1.31635,0.0011684,0.0011684,0.0011684
23,124.133,0.81095,0.72127,1.18661,0.83693,0.87043,0.91879,0.61712,1.08221,0.75177,1.36257,0.0011288,0.0011288,0.0011288
24,128.9,0.80972,0.71261,1.20128,0.86768,0.92982,0.95173,0.7063,0.90273,0.64677,1.23123,0.0010892,0.0010892,0.0010892
25,134.714,0.80471,0.70279,1.16232,0.80324,0.83626,0.88171,0.61166,0.97922,0.81086,1.27457,0.0010496,0.0010496,0.0010496
26,140.178,0.72644,0.63593,1.13603,0.85801,0.90058,0.95273,0.69415,0.93139,0.6138,1.24822,0.00101,0.00101,0.00101
27,145.783,0.81036,0.67826,1.17812,0.931,0.8538,0.95567,0.70879,0.93521,0.61389,1.26753,0.0009704,0.0009704,0.0009704
28,150.673,0.84023,0.70059,1.21163,0.93261,0.90643,0.96228,0.72404,0.8844,0.59366,1.21895,0.0009308,0.0009308,0.0009308
29,155.333,0.76038,0.87269,1.15259,0.89491,0.87135,0.95904,0.6585,1.02744,0.67758,1.31583,0.0008912,0.0008912,0.0008912
30,161.032,0.84209,0.97787,1.18912,0.90233,0.91841,0.95268,0.70153,0.88305,0.60307,1.21344,0.0008516,0.0008516,0.0008516
31,165.773,0.75728,0.67719,1.14619,0.82249,0.90643,0.93782,0.6902,0.90768,0.60836,1.2427,0.000812,0.000812,0.000812
32,171.69,0.73618,0.63225,1.1449,0.93658,0.86364,0.95014,0.71687,0.841,0.58629,1.20556,0.0007724,0.0007724,0.0007724
33,176.327,0.80964,0.69201,1.22248,0.91583,0.89088,0.95017,0.72776,0.84771,0.59321,1.20401,0.0007328,0.0007328,0.0007328
34,180.944,0.83494,0.69999,1.233,0.92407,0.90058,0.95994,0.71204,0.86209,0.57032,1.20275,0.0006932,0.0006932,0.0006932
35,186.758,0.71647,0.64581,1.13906,0.92617,0.88889,0.95787,0.72836,0.85568,0.59884,1.1975,0.0006536,0.0006536,0.0006536
36,191.54,0.73437,0.64885,1.15026,0.87492,0.94737,0.96197,0.73349,0.86254,0.54372,1.19681,0.000614,0.000614,0.000614
37,197.343,0.75182,0.63013,1.16255,0.87552,0.95322,0.96576,0.74383,0.85193,0.50906,1.17832,0.0005744,0.0005744,0.0005744
38,202.072,0.71507,0.62066,1.133,0.9349,0.93567,0.97053,0.75279,0.8138,0.50961,1.15642,0.0005348,0.0005348,0.0005348
39,206.835,0.66427,0.58016,1.10116,0.94708,0.90643,0.97316,0.74683,0.80163,0.51209,1.15399,0.0004952,0.0004952,0.0004952
