epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.90015,0.94379,1.85031,1.26438,0.73907,0.64706,0.76294,0.46367,1.06502,1.82687,1.3108,0.0005,0.0005,0.0005
2,12.5379,1.05645,1.34651,1.3549,0.50237,0.69118,0.53836,0.27337,1.34115,2.01801,1.62712,0.000999804,0.000999804,0.000999804
3,18.1701,1.04445,1.26363,1.32733,0.56554,0.59559,0.5661,0.23008,1.70655,3.36721,2.46867,0.00147902,0.00147902,0.00147902
4,22.4426,1.13561,1.30359,1.36486,0.13624,0.47794,0.11421,0.03208,2.2567,3.0502,3.91721,0.0018812,0.0018812,0.0018812
5,27.1301,1.10113,1.29086,1.35985,0.36322,0.49265,0.37987,0.1488,1.71268,2.28225,2.26237,0.0018416,0.0018416,0.0018416
6,32.1003,1.14681,1.28763,1.38066,0.49673,0.23529,0.27422,0.10513,2.04592,2.41455,2.35634,0.001802,0.001802,0.001802
7,36.4001,1.0316,1.10999,1.29564,0.58278,0.57353,0.60249,0.30096,1.44075,1.92464,1.73866,0.0017624,0.0017624,0.0017624
8,42.5822,1.02734,1.11054,1.31126,0.7014,0.73529,0.73708,0.3927,1.50771,1.91752,2.03498,0.0017228,0.0017228,0.0017228
9,47.303,1.0264,1.07093,1.31113,0.70363,0.56618,0.62189,0.35414,1.41546,2.01572,1.96478,0.0016832,0.0016832,0.0016832
10,51.8261,1.01649,1.04277,1.29016,0.76952,0.61029,0.69823,0.40226,1.4029,1.47306,1.83054,0.0016436,0.0016436,0.0016436
11,57.0925,1.0136,1.04218,1.28196,0.61494,0.56367,0.56969,0.28483,1.50547,1.80142,1.89509,0.001604,0.001604,0.001604
12,61.3694,1.03467,1.03522,1.31589,0.7576,0.69853,0.76581,0.43737,1.39112,1.21662,1.74427,0.0015644,0.0015644,0.0015644
13,66.3864,0.97679,1.02958,1.29459,0.81348,0.6093,0.71799,0.42202,1.49943,1.20581,1.93079,0.0015248,0.0015248,0.0015248
14,70.974,0.96746,0.99435,1.26021,0.71985,0.72794,0.75166,0.47608,1.04667,1.1872,1.36363,0.0014852,0.0014852,0.0014852
15,75.3354,0.93374,0.93784,1.25378,0.76189,0.75289,0.75994,0.49883,1.13559,1.18458,1.52972,0.0014456,0.0014456,0.0014456
16,80.7897,0.96949,0.92723,1.25487,0.89279,0.79603,0.88452,0.58719,1.13335,0.96263,1.40427,0.001406,0.001406,0.001406
17,85.0931,0.92536,0.892,1.22124,0.92041,0.76526,0.85964,0.57892,1.09912,0.91609,1.42732,0.0013664,0.0013664,0.0013664
18,89.3385,0.88611,0.82419,1.21263,0.83129,0.76471,0.80949,0.53776,1.08949,1.12157,1.41397,0.0013268,0.0013268,0.0013268
19,94.7281,0.88985,0.86029,1.2229,0.90304,0.75335,0.86722,0.59166,1.11976,0.83311,1.46662,0.0012872,0.0012872,0.0012872
20,99.0617,0.86914,0.8539,1.21833,0.85673,0.75735,0.87928,0.60888,1.03128,0.82271,1.34915,0.0012476,0.0012476,0.0012476
21,103.834,0.82947,0.77782,1.19041,0.90608,0.78028,0.88728,0.60564,1.11453,0.91059,1.38164,0.001208,0.001208,0.001208
22,108.637,0.82446,0.76613,1.17928,0.91026,0.76471,0.8633,0.5964,1.14775,0.96584,1.42137,0.0011684,0.0011684,0.0011684
23,112.963,0.81534,0.7639,1.17232,0.94011,0.77206,0.88553,0.60973,0.99327,0.84378,1.3367,0.0011288,0.0011288,0.0011288
24,118.326,0.83278,0.73259,1.18526,0.94555,0.82353,0.91197,0.65932,0.9399,0.76733,1.26647,0.0010892,0.0010892,0.0010892
25,122.665,0.8001,0.72557,1.16132,0.8342,0.81392,0.8723,0.62411,0.96182,0.83028,1.30882,0.0010496,0.0010496,0.0010496
26,126.973,0.79752,0.73858,1.16948,0.82706,0.74265,0.80099,0.55139,1.02947,0.93569,1.46452,0.00101,0.00101,0.00101
27,132.402,0.78005,0.71159,1.1537,0.91923,0.83686,0.9148,0.66965,0.90053,0.73703,1.24992,0.0009704,0.0009704,0.0009704
28,136.771,0.74858,0.67654,1.13857,0.85892,0.83824,0.89892,0.63722,0.90659,0.75554,1.26647,0.0009308,0.0009308,0.0009308
29,141.119,0.76353,0.67255,1.13725,0.89765,0.83835,0.90466,0.64979,0.95928,0.75421,1.29557,0.0008912,0.0008912,0.0008912
30,146.349,0.81278,0.71168,1.16257,0.94735,0.82353,0.90681,0.66158,0.9143,0.70471,1.23817,0.0008516,0.0008516,0.0008516
31,150.662,0.75375,0.69717,1.13419,0.90085,0.86847,0.9196,0.66869,0.91753,0.6982,1.22105,0.000812,0.000812,0.000812
32,155.706,0.7054,0.63372,1.10715,0.94256,0.83088,0.93467,0.68437,0.89566,0.71744,1.2486,0.0007724,0.0007724,0.0007724
33,160.32,0.7128,0.6423,1.11314,0.90728,0.80147,0.89276,0.63352,0.96019,0.74768,1.33254,0.0007328,0.0007328,0.0007328
34,164.754,0.74084,0.66843,1.13402,0.90863,0.86029,0.92393,0.68365,0.86579,0.67659,1.22399,0.0006932,0.0006932,0.0006932
35,170.142,0.75231,0.63995,1.13577,0.882,0.79412,0.8657,0.61863,0.9447,0.74062,1.28215,0.0006536,0.0006536,0.0006536
36,174.421,0.72655,0.6384,1.12672,0.85645,0.875,0.91767,0.6913,0.81121,0.6624,1.19227,0.000614,0.000614,0.000614
37,178.764,0.7125,0.62263,1.1267,0.89282,0.88971,0.93474,0.71309,0.79654,0.64488,1.18645,0.0005744,0.0005744,0.0005744
38,184.264,0.68591,0.64275,1.11148,0.88979,0.85294,0.94351,0.72147,0.7902,0.61622,1.1558,0.0005348,0.0005348,0.0005348
39,188.674,0.67917,0.59881,1.0963,0.92719,0.84269,0.93878,0.72623,0.78937,0.64319,1.14274,0.0004952,0.0004952,0.0004952
40,193.407,0.69178,0.61151,1.11078,0.90315,0.83824,0.93723,0.7204,0.81672,0.62873,1.16743,0.0004556,0.0004556,0.0004556
41,199.589,0.57561,0.5223,1.01822,0.95432,0.83824,0.93273,0.70598,0.83094,0.66358,1.17162,0.000416,0.000416,0.000416
42,203.736,0.54853,0.49105,1.02631,0.92231,0.88971,0.94872,0.74307,0.76332,0.5792,1.13772,0.0003764,0.0003764,0.0003764
43,208.936,0.54145,0.45116,0.99937,0.92286,0.88235,0.95693,0.75521,0.7691,0.56847,1.15473,0.0003368,0.0003368,0.0003368
44,213.047,0.53254,0.42842,1.00564,0.89625,0.88928,0.95604,0.75572,0.76145,0.57064,1.13394,0.0002972,0.0002972,0.0002972
45,217.226,0.51154,0.40443,0.98463,0.9117,0.911,0.96728,0.76723,0.76434,0.53465,1.12245,0.0002576,0.0002576,0.0002576
46,222.495,0.50429,0.41048,0.98861,0.90652,0.91176,0.96675,0.78547,0.72065,0.53124,1.09087,0.000218,0.000218,0.000218
47,226.697,0.47441,0.38079,0.97391,0.92452,0.90064,0.96802,0.78044,0.72601,0.50932,1.10271,0.0001784,0.0001784,0.0001784
48,230.988,0.49484,0.38873,0.99414,0.9628,0.86765,0.97006,0.79131,0.70106,0.48978,1.08661,0.0001388,0.0001388,0.0001388
49,235.966,0.46948,0.38779,0.97474,0.95295,0.89351,0.97494,0.80166,0.69522,0.48328,1.0804,9.92e-05,9.92e-05,9.92e-05
50,240.227,0.45825,0.37009,0.9668,0.9362,0.90441,0.97513,0.79486,0.68659,0.48496,1.07009,5.96e-05,5.96e-05,5.96e-05
